Agency,Business,Evaluation Type,Evaluation Type1 (group),Evaluation Type1 (group) 1,Family/Household,Filter Funding recipient,Filter programs,Funding Flow,Funding Flow title,Funding Level1,Funding Recipient,Individual,Intended Population,Label for Funding Recipient,Local Government,MeasureLabel,Other,ProgCharBFilter,Program,Program Type,Recipient,Service Organization,State Government,Topic,Total Funding Label,Tribal Government,Updated Funding Recipient,Updated Program Description,number of programs
U.S. Department of Health and Human Services,0,Outcome,Outcome,Outcome,Family/Household,True,Category 2,Category 1,Funding Flow,"$200,000,000",Family,0,Category 2,Funding Recipient,0,1,0,Outcome,Family Violence Prevention and Services Program,Category 5,False,0,0,Closing Health Disparities,Total Funding,0,Family,"FY2021 Family Violence Prevention and Services Program Act (FVPSA) American Rescue Plan (ARP) Supplemental Funding Program: FVPSA has received $200 million to support domestic violence shelters, supportive services, tribes, and culturally specific programs. This funding provided 296 supplemental grant awards that will reach states/territories, tribes, state domestic violence coalitions, national resource centers, Specialized Services for Abused Parents and Children grantees, and national hotlines.

2021 FVPSA ARP COVID-19 Testing, Vaccines, and Mobile Health Units Access (COVID-19): This program provides resources for states, territories, and tribes to increase voluntary access to services and support for domestic violence survivors and their dependents who have been impacted by the COVID-19 virus and the COVID-19 public health emergency. Expanding the access to health care and supportive services increases survivor safety, as well as strengthens the health and wellbeing of 1.3 million survivors served by FVPSA-funded programs every year.

2021 FVPSA ARP Grants to Support Survivors of Sexual Assault Program: The ARP authorized $198 million in one-time funding for grants to ensure access to, and continuity of, rape crisis centers and sexual assault programs and services during the COVID-19 public health emergency by enhancing virtual services and ensuring that the increased demand for emergency services could be met.

2021 FVPSA ARP Support for Survivors of Domestic Violence and Sexual Assault from Culturally Specific Population Grant Program: FVPSA program received an increase in supplemental funding from the ARP of $49.5 million for domestic violence shelters, supportive services, tribes, sexual assault programs, and culturally specific programs.",1
U.S. Department of Health and Human Services,0,Unsure,Unsure,Unsure,Family/Household,True,Category 2,Category 1,Funding Flow,"$200,000,000",Family,0,Category 2,Funding Recipient,0,1,0,Unsure,Family Violence Prevention and Services Program,Category 5,False,0,0,Closing Health Disparities,Total Funding,0,Family,"FY2021 Family Violence Prevention and Services Program Act (FVPSA) American Rescue Plan (ARP) Supplemental Funding Program: FVPSA has received $200 million to support domestic violence shelters, supportive services, tribes, and culturally specific programs. This funding provided 296 supplemental grant awards that will reach states/territories, tribes, state domestic violence coalitions, national resource centers, Specialized Services for Abused Parents and Children grantees, and national hotlines.

2021 FVPSA ARP COVID-19 Testing, Vaccines, and Mobile Health Units Access (COVID-19): This program provides resources for states, territories, and tribes to increase voluntary access to services and support for domestic violence survivors and their dependents who have been impacted by the COVID-19 virus and the COVID-19 public health emergency. Expanding the access to health care and supportive services increases survivor safety, as well as strengthens the health and wellbeing of 1.3 million survivors served by FVPSA-funded programs every year.

2021 FVPSA ARP Grants to Support Survivors of Sexual Assault Program: The ARP authorized $198 million in one-time funding for grants to ensure access to, and continuity of, rape crisis centers and sexual assault programs and services during the COVID-19 public health emergency by enhancing virtual services and ensuring that the increased demand for emergency services could be met.

2021 FVPSA ARP Support for Survivors of Domestic Violence and Sexual Assault from Culturally Specific Population Grant Program: FVPSA program received an increase in supplemental funding from the ARP of $49.5 million for domestic violence shelters, supportive services, tribes, sexual assault programs, and culturally specific programs.",1
U.S. Department of Health and Human Services,0,Implementation,Implementation,Implementation,Family/Household,True,Category 2,Category 1,Funding Flow,"$200,000,000",Family,0,Category 2,Funding Recipient,0,1,0,Implementation,Family Violence Prevention and Services Program,Category 5,False,0,0,Closing Health Disparities,Total Funding,0,Family,"FY2021 Family Violence Prevention and Services Program Act (FVPSA) American Rescue Plan (ARP) Supplemental Funding Program: FVPSA has received $200 million to support domestic violence shelters, supportive services, tribes, and culturally specific programs. This funding provided 296 supplemental grant awards that will reach states/territories, tribes, state domestic violence coalitions, national resource centers, Specialized Services for Abused Parents and Children grantees, and national hotlines.

2021 FVPSA ARP COVID-19 Testing, Vaccines, and Mobile Health Units Access (COVID-19): This program provides resources for states, territories, and tribes to increase voluntary access to services and support for domestic violence survivors and their dependents who have been impacted by the COVID-19 virus and the COVID-19 public health emergency. Expanding the access to health care and supportive services increases survivor safety, as well as strengthens the health and wellbeing of 1.3 million survivors served by FVPSA-funded programs every year.

2021 FVPSA ARP Grants to Support Survivors of Sexual Assault Program: The ARP authorized $198 million in one-time funding for grants to ensure access to, and continuity of, rape crisis centers and sexual assault programs and services during the COVID-19 public health emergency by enhancing virtual services and ensuring that the increased demand for emergency services could be met.

2021 FVPSA ARP Support for Survivors of Domestic Violence and Sexual Assault from Culturally Specific Population Grant Program: FVPSA program received an increase in supplemental funding from the ARP of $49.5 million for domestic violence shelters, supportive services, tribes, sexual assault programs, and culturally specific programs.",1
U.S. Department of Health and Human Services,0,,Unsure,Unsure,0,True,Category 4,Category 3,Funding Flow,"$500,000,000","State Government, Tribal Government/Territory",0,Category 4,Funding Recipient,0,1,0,Unsure,Funding for Water Assistance Program,Category 1,False,0,State Government,Securing Dignified Housing and Living Conditions,Total Funding,Tribal Government,"State Government, Tribal Government/Territory","Created by the Low-Income Household Water Assistance Program of 2021 (LIWAP) and expanded by the American Rescue Plan Act (ARP) of 2021, LIHWAP is implemented by the Office of Community Service (OCS) and provides funds to assist low-income households with water and wastewater bills. LIHWAP was allocated by formula to States, Tribes, and Territories FY2021 grantees of the Low-Income Energy Assistance Program (LIHEAP). LIHWAP grantees work with water service organizations to establish vendor agreements that “reduce arrearages of and rates charged to [low-income] households for services.""",1
U.S. Department of Health and Human Services,Business,Unsure,Unsure,Unsure,0,True,Category 4,Category 2,Funding Flow,,"Business, Local Government (public water agencies), Service Organization, Tribes

",0,Category 4,Funding Recipient,Local Government,1,0,Unsure,Health Insurance Premium Tax Credit,Category 6,False,Service Organization,0,Closing Health Disparities,Total Funding,0,"Business, Local Government (public water agencies), Service Organization, Tribes

","This program increased tax credit amounts for eligible individuals to help cover their Marketplace health plan premiums and eliminated the maximum household income limit for the tax credit. Previously, only households with incomes between 100-400% of the federal poverty level (FPL) could qualify for these credits. The Health Insurance Premium Tax Credit and Cost-Sharing Reduction (CSR) program was established originally under the Patient Protection and Affordable Care Act (ACA) in 2010. It was amended under the American Rescue Plan (ARP) Act of 2021 to include several temporary provisions. The dollar amount contributed to an individual’s health premiums, known as premium tax credit (PTC), varies among individuals based on their level of income and based on a formula specified in statute. Some individuals are required to pay part of their health insurance premiums. The premium tax credit can be provided as a refund at the time the individual files their taxes even if they have little or no federal income tax liability. The premium tax credit can also be provided on a monthly basis at the time the payment of the health insurance premium is due. This reduces the consumer cost associated with purchasing insurance. Since the tax credits are provided in advance of filing taxes, it is referred to as advance payments of the premium tax credit (APTC). The credit is financed through permanent appropriations authorized under the federal tax code. 

Those eligible for the PTC may also be eligible for subsidies that reduce cost-sharing expenses (e.g., copayments, coinsurance, and deductibles). ARP made temporary changes to PTC and CSRs which include expanding eligibility for the PTC and increased the amount of credit for tax years 2021 and 2023. The budget reconciliation measure (Inflation Reduction Act), enacted on August 16, 2022, extended this ARP provision for three years to sunset at the end of tax year 2025. ARP’s temporary changes to the PTC and CSRs that expired include: the provisions that suspended the requirement for tax year 2020 that individuals pay back excess PTC amounts; and the expanded eligibility and calculation for both the PTC and the CSRs for individuals who receive unemployment compensation during calendar year 2021. ",1
U.S. Department of Health and Human Services,Business,Unsure,Unsure,Unsure,0,True,Category 4,Category 1,Funding Flow,,"Business, Local Government (public water agencies), Service Organization, Tribes

",0,Category 4,Funding Recipient,Local Government,1,0,Unsure,Health Insurance Premium Tax Credit,Category 6,False,Service Organization,0,Closing Health Disparities,Total Funding,0,"Business, Local Government (public water agencies), Service Organization, Tribes

","This program increased tax credit amounts for eligible individuals to help cover their Marketplace health plan premiums and eliminated the maximum household income limit for the tax credit. Previously, only households with incomes between 100-400% of the federal poverty level (FPL) could qualify for these credits. The Health Insurance Premium Tax Credit and Cost-Sharing Reduction (CSR) program was established originally under the Patient Protection and Affordable Care Act (ACA) in 2010. It was amended under the American Rescue Plan (ARP) Act of 2021 to include several temporary provisions. The dollar amount contributed to an individual’s health premiums, known as premium tax credit (PTC), varies among individuals based on their level of income and based on a formula specified in statute. Some individuals are required to pay part of their health insurance premiums. The premium tax credit can be provided as a refund at the time the individual files their taxes even if they have little or no federal income tax liability. The premium tax credit can also be provided on a monthly basis at the time the payment of the health insurance premium is due. This reduces the consumer cost associated with purchasing insurance. Since the tax credits are provided in advance of filing taxes, it is referred to as advance payments of the premium tax credit (APTC). The credit is financed through permanent appropriations authorized under the federal tax code. 

Those eligible for the PTC may also be eligible for subsidies that reduce cost-sharing expenses (e.g., copayments, coinsurance, and deductibles). ARP made temporary changes to PTC and CSRs which include expanding eligibility for the PTC and increased the amount of credit for tax years 2021 and 2023. The budget reconciliation measure (Inflation Reduction Act), enacted on August 16, 2022, extended this ARP provision for three years to sunset at the end of tax year 2025. ARP’s temporary changes to the PTC and CSRs that expired include: the provisions that suspended the requirement for tax year 2020 that individuals pay back excess PTC amounts; and the expanded eligibility and calculation for both the PTC and the CSRs for individuals who receive unemployment compensation during calendar year 2021. ",1
U.S. Department of Health and Human Services,Business,Outcome,Outcome,Outcome,0,True,Category 4,Category 1,Funding Flow,,"Business, Local Government (public water agencies), Service Organization, Tribes

",0,Category 4,Funding Recipient,Local Government,1,0,Outcome,Health Insurance Premium Tax Credit,Category 6,False,Service Organization,0,Closing Health Disparities,Total Funding,0,"Business, Local Government (public water agencies), Service Organization, Tribes

","This program increased tax credit amounts for eligible individuals to help cover their Marketplace health plan premiums and eliminated the maximum household income limit for the tax credit. Previously, only households with incomes between 100-400% of the federal poverty level (FPL) could qualify for these credits. The Health Insurance Premium Tax Credit and Cost-Sharing Reduction (CSR) program was established originally under the Patient Protection and Affordable Care Act (ACA) in 2010. It was amended under the American Rescue Plan (ARP) Act of 2021 to include several temporary provisions. The dollar amount contributed to an individual’s health premiums, known as premium tax credit (PTC), varies among individuals based on their level of income and based on a formula specified in statute. Some individuals are required to pay part of their health insurance premiums. The premium tax credit can be provided as a refund at the time the individual files their taxes even if they have little or no federal income tax liability. The premium tax credit can also be provided on a monthly basis at the time the payment of the health insurance premium is due. This reduces the consumer cost associated with purchasing insurance. Since the tax credits are provided in advance of filing taxes, it is referred to as advance payments of the premium tax credit (APTC). The credit is financed through permanent appropriations authorized under the federal tax code. 

Those eligible for the PTC may also be eligible for subsidies that reduce cost-sharing expenses (e.g., copayments, coinsurance, and deductibles). ARP made temporary changes to PTC and CSRs which include expanding eligibility for the PTC and increased the amount of credit for tax years 2021 and 2023. The budget reconciliation measure (Inflation Reduction Act), enacted on August 16, 2022, extended this ARP provision for three years to sunset at the end of tax year 2025. ARP’s temporary changes to the PTC and CSRs that expired include: the provisions that suspended the requirement for tax year 2020 that individuals pay back excess PTC amounts; and the expanded eligibility and calculation for both the PTC and the CSRs for individuals who receive unemployment compensation during calendar year 2021. ",1
U.S. Department of Education,0,Outcome,Outcome,Outcome,Family/Household,True,Category 2,Category 1,Funding Flow,"$39,584,570,000","Individual, Family/Household",Individual,Category 2,Funding Recipient,0,1,0,Outcome,Higher Education Emergency Relief Fund,Category 5,True,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,"Individual, Family/household.","The American Rescue Plan (ARP) Act provided an additional $39.6 billion to the Higher Education Emergency Relief Fund (HEERF) for a total of $76 billion to help institutions of higher education (IHE) prevent, prepare for, and respond to the coronavirus and to help students stay enrolled and on track to graduate. IHEs receiving funds were required to allocate approximately half toward emergency financial aid grants to students. The majority of the remaining funding, called the institutional portion, could be used for any purpose that supported the IHE’s efforts to prepare, prevent, and respond to the COVID-19 pandemic.",1
U.S. Department of Education,0,Outcome,Outcome,Outcome,Family/Household,True,Category 2,Category 1,Funding Flow,"$39,584,570,000","Individual, Family/Household",Individual,Category 2,Funding Recipient,0,1,0,Outcome,Higher Education Emergency Relief Fund,Category 5,True,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,"Individual, Family/household.","The American Rescue Plan (ARP) Act provided an additional $39.6 billion to the Higher Education Emergency Relief Fund (HEERF) for a total of $76 billion to help institutions of higher education (IHE) prevent, prepare for, and respond to the coronavirus and to help students stay enrolled and on track to graduate. IHEs receiving funds were required to allocate approximately half toward emergency financial aid grants to students. The majority of the remaining funding, called the institutional portion, could be used for any purpose that supported the IHE’s efforts to prepare, prevent, and respond to the COVID-19 pandemic.",1
U.S. Department of Education,0,Outcome,Outcome,Outcome,Family/Household,True,Category 2,Category 3,Funding Flow,"$39,584,570,000","Individual, Family/Household",Individual,Category 2,Funding Recipient,0,1,0,Outcome,Higher Education Emergency Relief Fund,Category 5,True,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,"Individual, Family/household.","The American Rescue Plan (ARP) Act provided an additional $39.6 billion to the Higher Education Emergency Relief Fund (HEERF) for a total of $76 billion to help institutions of higher education (IHE) prevent, prepare for, and respond to the coronavirus and to help students stay enrolled and on track to graduate. IHEs receiving funds were required to allocate approximately half toward emergency financial aid grants to students. The majority of the remaining funding, called the institutional portion, could be used for any purpose that supported the IHE’s efforts to prepare, prevent, and respond to the COVID-19 pandemic.",1
U.S. Department of Treasury,Business,,Unsure,Unsure,0,True,Category 2,Category 3,Funding Flow,"$9,961,000,000",Businesses,0,Category 2,Funding Recipient,0,1,0,Unsure,Homeowner Assistance Fund,Category 2,False,0,0,Securing Dignified Housing and Living Conditions,Total Funding,0,Businesses,"HAF (Homeowner Assistance Fund) was created to ease pandemic-related financial hardships experienced by homeowners in order to prevent mortgage defaults, mortgage delinquencies, foreclosures, utility shut-offs, and homeowner displacement. HAF provided funds to assist with mortgage and utility payments and other related expenses. ",1
U.S. Department of Housing and Urban Development,0,Implementation,Implementation,Implementation,0,True,Category 4,Category 2,Funding Flow,"$750,000,000",State Government,0,Category 4,Funding Recipient,0,1,0,Implementation,Housing Assistance and Supportive Services for Native Americans and Native Hawaiians,Category 3,False,0,State Government,Securing Dignified Housing and Living Conditions,Total Funding,0,"1. Claimant Experience Pilot Program: State Government



2. Equity Grant Program: State Government, Territory Government



3. Fraud Detection and Prevention Grant Program: State Government, Territory Government



4. Tiger Teams: State Government, Territory Government



5. Navigator Pilot Program: State Government



6. State UI Equity Data Partnership: State Government



7. Integrity Grant Program: State Government 



8. IT Modernization: State Government","The American Rescue Plan Act appropriated $750 million to add non-competitive funds to existing housing block grants serving Native Americans, Alaska Natives, and Native Hawaiians. It also allowed HUD (Department of Housing and Urban Development) to waive or establish alternative requirements for ""any provision of the Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA) or regulation applicable to the IHBG (Indian Housing Block Grant) and NHHBG (Native Hawaiian Housing Block Grant) Programs to expedite or facilitate the use of funds (other than requirements related to fair housing, nondiscrimination, labor standards, and the environment).” The following programs received additional ARP funding and in some cases, additional waiver authority, under this provision. HUD was allocated $5 million for program administration. 
•	Indian Housing Block Grants (IHBG-ARP) – $450 million. IHBG is an existing block grant available to tribes to fund self-determined and locally designed affordable housing activities including the development of new affordable units and maintenance and operation of existing units. ARP funds provided additional funds to be administered through the IHBG ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" 
•	Native Hawaiian Housing Block Grants (NHHBG-ARP) – $5 million. The NHHBG is an existing block grant allocated to the State of Hawaii’s Department of Hawaiian Home Lands (DHHL) to provide affordable housing to Native Hawaiians. Additional funding was allocated to NHHBG by ARP ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" Funds may also be used to ""provide rental assistance to eligible Native Hawaiian families both on and off the Hawaiian Home Lands."" 
•	Indian Community Development Block Grants (ICDBG-ARP) – $280 million. ICDBG-ARP is provided under the American Rescue Plan Act of 2021 “to be used for emergencies that constitute imminent threats to health and safety and that are designed to prevent, prepare for, or respond to coronavirus.” Additional waiver authority was also provided under ARP for the ICDBG program. 
•	Tribal ARP programs technical assistance - $10 million. This funding is used to provide technical assistance to tribes to implement ARP-funded efforts.
",1
U.S. Department of Housing and Urban Development,0,Implementation,Implementation,Implementation,0,True,Category 4,Category 2,Funding Flow,"$750,000,000",State Government,0,Category 4,Funding Recipient,0,1,0,Implementation,Housing Assistance and Supportive Services for Native Americans and Native Hawaiians,Category 3,False,0,State Government,Securing Dignified Housing and Living Conditions,Total Funding,0,"1. Claimant Experience Pilot Program: State Government



2. Equity Grant Program: State Government, Territory Government



3. Fraud Detection and Prevention Grant Program: State Government, Territory Government



4. Tiger Teams: State Government, Territory Government



5. Navigator Pilot Program: State Government



6. State UI Equity Data Partnership: State Government



7. Integrity Grant Program: State Government 



8. IT Modernization: State Government","The American Rescue Plan Act appropriated $750 million to add non-competitive funds to existing housing block grants serving Native Americans, Alaska Natives, and Native Hawaiians. It also allowed HUD (Department of Housing and Urban Development) to waive or establish alternative requirements for ""any provision of the Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA) or regulation applicable to the IHBG (Indian Housing Block Grant) and NHHBG (Native Hawaiian Housing Block Grant) Programs to expedite or facilitate the use of funds (other than requirements related to fair housing, nondiscrimination, labor standards, and the environment).” The following programs received additional ARP funding and in some cases, additional waiver authority, under this provision. HUD was allocated $5 million for program administration. 
•	Indian Housing Block Grants (IHBG-ARP) – $450 million. IHBG is an existing block grant available to tribes to fund self-determined and locally designed affordable housing activities including the development of new affordable units and maintenance and operation of existing units. ARP funds provided additional funds to be administered through the IHBG ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" 
•	Native Hawaiian Housing Block Grants (NHHBG-ARP) – $5 million. The NHHBG is an existing block grant allocated to the State of Hawaii’s Department of Hawaiian Home Lands (DHHL) to provide affordable housing to Native Hawaiians. Additional funding was allocated to NHHBG by ARP ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" Funds may also be used to ""provide rental assistance to eligible Native Hawaiian families both on and off the Hawaiian Home Lands."" 
•	Indian Community Development Block Grants (ICDBG-ARP) – $280 million. ICDBG-ARP is provided under the American Rescue Plan Act of 2021 “to be used for emergencies that constitute imminent threats to health and safety and that are designed to prevent, prepare for, or respond to coronavirus.” Additional waiver authority was also provided under ARP for the ICDBG program. 
•	Tribal ARP programs technical assistance - $10 million. This funding is used to provide technical assistance to tribes to implement ARP-funded efforts.
",1
U.S. Department of Housing and Urban Development,0,Implementation,Implementation,Implementation,0,True,Category 4,Category 2,Funding Flow,"$750,000,000",State Government,0,Category 4,Funding Recipient,0,1,0,Implementation,Housing Assistance and Supportive Services for Native Americans and Native Hawaiians,Category 3,False,0,State Government,Securing Dignified Housing and Living Conditions,Total Funding,0,"1. Claimant Experience Pilot Program: State Government



2. Equity Grant Program: State Government, Territory Government



3. Fraud Detection and Prevention Grant Program: State Government, Territory Government



4. Tiger Teams: State Government, Territory Government



5. Navigator Pilot Program: State Government



6. State UI Equity Data Partnership: State Government



7. Integrity Grant Program: State Government 



8. IT Modernization: State Government","The American Rescue Plan Act appropriated $750 million to add non-competitive funds to existing housing block grants serving Native Americans, Alaska Natives, and Native Hawaiians. It also allowed HUD (Department of Housing and Urban Development) to waive or establish alternative requirements for ""any provision of the Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA) or regulation applicable to the IHBG (Indian Housing Block Grant) and NHHBG (Native Hawaiian Housing Block Grant) Programs to expedite or facilitate the use of funds (other than requirements related to fair housing, nondiscrimination, labor standards, and the environment).” The following programs received additional ARP funding and in some cases, additional waiver authority, under this provision. HUD was allocated $5 million for program administration. 
•	Indian Housing Block Grants (IHBG-ARP) – $450 million. IHBG is an existing block grant available to tribes to fund self-determined and locally designed affordable housing activities including the development of new affordable units and maintenance and operation of existing units. ARP funds provided additional funds to be administered through the IHBG ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" 
•	Native Hawaiian Housing Block Grants (NHHBG-ARP) – $5 million. The NHHBG is an existing block grant allocated to the State of Hawaii’s Department of Hawaiian Home Lands (DHHL) to provide affordable housing to Native Hawaiians. Additional funding was allocated to NHHBG by ARP ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" Funds may also be used to ""provide rental assistance to eligible Native Hawaiian families both on and off the Hawaiian Home Lands."" 
•	Indian Community Development Block Grants (ICDBG-ARP) – $280 million. ICDBG-ARP is provided under the American Rescue Plan Act of 2021 “to be used for emergencies that constitute imminent threats to health and safety and that are designed to prevent, prepare for, or respond to coronavirus.” Additional waiver authority was also provided under ARP for the ICDBG program. 
•	Tribal ARP programs technical assistance - $10 million. This funding is used to provide technical assistance to tribes to implement ARP-funded efforts.
",1
U.S. Department of Housing and Urban Development,0,Implementation,Implementation,Implementation,0,True,Category 4,Category 3,Funding Flow,"$750,000,000",State Government,0,Category 4,Funding Recipient,0,1,0,Implementation,Housing Assistance and Supportive Services for Native Americans and Native Hawaiians,Category 3,False,0,State Government,Securing Dignified Housing and Living Conditions,Total Funding,0,"1. Claimant Experience Pilot Program: State Government



2. Equity Grant Program: State Government, Territory Government



3. Fraud Detection and Prevention Grant Program: State Government, Territory Government



4. Tiger Teams: State Government, Territory Government



5. Navigator Pilot Program: State Government



6. State UI Equity Data Partnership: State Government



7. Integrity Grant Program: State Government 



8. IT Modernization: State Government","The American Rescue Plan Act appropriated $750 million to add non-competitive funds to existing housing block grants serving Native Americans, Alaska Natives, and Native Hawaiians. It also allowed HUD (Department of Housing and Urban Development) to waive or establish alternative requirements for ""any provision of the Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA) or regulation applicable to the IHBG (Indian Housing Block Grant) and NHHBG (Native Hawaiian Housing Block Grant) Programs to expedite or facilitate the use of funds (other than requirements related to fair housing, nondiscrimination, labor standards, and the environment).” The following programs received additional ARP funding and in some cases, additional waiver authority, under this provision. HUD was allocated $5 million for program administration. 
•	Indian Housing Block Grants (IHBG-ARP) – $450 million. IHBG is an existing block grant available to tribes to fund self-determined and locally designed affordable housing activities including the development of new affordable units and maintenance and operation of existing units. ARP funds provided additional funds to be administered through the IHBG ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" 
•	Native Hawaiian Housing Block Grants (NHHBG-ARP) – $5 million. The NHHBG is an existing block grant allocated to the State of Hawaii’s Department of Hawaiian Home Lands (DHHL) to provide affordable housing to Native Hawaiians. Additional funding was allocated to NHHBG by ARP ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" Funds may also be used to ""provide rental assistance to eligible Native Hawaiian families both on and off the Hawaiian Home Lands."" 
•	Indian Community Development Block Grants (ICDBG-ARP) – $280 million. ICDBG-ARP is provided under the American Rescue Plan Act of 2021 “to be used for emergencies that constitute imminent threats to health and safety and that are designed to prevent, prepare for, or respond to coronavirus.” Additional waiver authority was also provided under ARP for the ICDBG program. 
•	Tribal ARP programs technical assistance - $10 million. This funding is used to provide technical assistance to tribes to implement ARP-funded efforts.
",1
U.S. Department of Housing and Urban Development,0,Implementation,Implementation,Implementation,0,True,Category 4,Category 2,Funding Flow,"$750,000,000",State Government,0,Category 4,Funding Recipient,0,1,0,Implementation,Housing Assistance and Supportive Services for Native Americans and Native Hawaiians,Category 3,False,0,State Government,Securing Dignified Housing and Living Conditions,Total Funding,0,"1. Claimant Experience Pilot Program: State Government



2. Equity Grant Program: State Government, Territory Government



3. Fraud Detection and Prevention Grant Program: State Government, Territory Government



4. Tiger Teams: State Government, Territory Government



5. Navigator Pilot Program: State Government



6. State UI Equity Data Partnership: State Government



7. Integrity Grant Program: State Government 



8. IT Modernization: State Government","The American Rescue Plan Act appropriated $750 million to add non-competitive funds to existing housing block grants serving Native Americans, Alaska Natives, and Native Hawaiians. It also allowed HUD (Department of Housing and Urban Development) to waive or establish alternative requirements for ""any provision of the Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA) or regulation applicable to the IHBG (Indian Housing Block Grant) and NHHBG (Native Hawaiian Housing Block Grant) Programs to expedite or facilitate the use of funds (other than requirements related to fair housing, nondiscrimination, labor standards, and the environment).” The following programs received additional ARP funding and in some cases, additional waiver authority, under this provision. HUD was allocated $5 million for program administration. 
•	Indian Housing Block Grants (IHBG-ARP) – $450 million. IHBG is an existing block grant available to tribes to fund self-determined and locally designed affordable housing activities including the development of new affordable units and maintenance and operation of existing units. ARP funds provided additional funds to be administered through the IHBG ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" 
•	Native Hawaiian Housing Block Grants (NHHBG-ARP) – $5 million. The NHHBG is an existing block grant allocated to the State of Hawaii’s Department of Hawaiian Home Lands (DHHL) to provide affordable housing to Native Hawaiians. Additional funding was allocated to NHHBG by ARP ""to prevent, prepare for, and respond to coronavirus, including to maintain normal operations and fund eligible affordable housing activities during COVID-19."" Funds may also be used to ""provide rental assistance to eligible Native Hawaiian families both on and off the Hawaiian Home Lands."" 
•	Indian Community Development Block Grants (ICDBG-ARP) – $280 million. ICDBG-ARP is provided under the American Rescue Plan Act of 2021 “to be used for emergencies that constitute imminent threats to health and safety and that are designed to prevent, prepare for, or respond to coronavirus.” Additional waiver authority was also provided under ARP for the ICDBG program. 
•	Tribal ARP programs technical assistance - $10 million. This funding is used to provide technical assistance to tribes to implement ARP-funded efforts.
",1
U.S. Department of Health and Human Services,0,Unsure,Unsure,Unsure,0,True,Category 2,Category 1,Funding Flow,,"Service Organization, Other (Institution for higher education)",0,Category 2,Funding Recipient,0,1,Other,Unsure,Increase in Access to Home and Community Based Services,Category 6,False,Service Organization,0,Closing Health Disparities,Total Funding,0,"Service Organization, Other (Institution for higher education)","This program provides states with a temporary 10 percentage point increase to the federal medical assistance percentage (FMAP) for certain Medicaid expenditures for home and community-based services (HCBS) provided between April 1, 2021, and March 31, 2022. States must use the federal funds attributable to the increased FMAP to supplement, not supplant, existing state funds expended for Medicaid HCBS and states must use state funds equivalent to the amount of federal funds attributable to the increased FMAP to implement or supplement the implementation of one or more activities to enhance, expand, or strengthen HCBS under the Medicaid program. ",1
U.S. Department of Health and Human Services,0,Unsure,Unsure,Unsure,0,True,Category 2,Category 2,Funding Flow,,"Service Organization, Other (Institution for higher education)",0,Category 2,Funding Recipient,0,1,Other,Unsure,Increase in Access to Home and Community Based Services,Category 6,False,Service Organization,0,Closing Health Disparities,Total Funding,0,"Service Organization, Other (Institution for higher education)","This program provides states with a temporary 10 percentage point increase to the federal medical assistance percentage (FMAP) for certain Medicaid expenditures for home and community-based services (HCBS) provided between April 1, 2021, and March 31, 2022. States must use the federal funds attributable to the increased FMAP to supplement, not supplant, existing state funds expended for Medicaid HCBS and states must use state funds equivalent to the amount of federal funds attributable to the increased FMAP to implement or supplement the implementation of one or more activities to enhance, expand, or strengthen HCBS under the Medicaid program. ",1
U.S. Department of Education,0,,Unsure,Unsure,Family/Household,True,Category 1,Category 1,Funding Flow,"$3,030,000,000","Individual, Family/Household",Individual,Category 1,Funding Recipient,0,1,0,Unsure,Individuals with Disabilities Education Act,Category 2,True,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,"Individual, Family","Part B (i.e. IDEA sections 611 and 619) and Part C of the Individuals with Disabilities Education Act (IDEA) authorized assistance to States to support the provision of special education and related services to children with disabilities and the provision and coordination of early intervention services for infants and toddlers with disabilities and their families, respectively. Throughout 2020, IDEA did not receive additional funding in the various COVID relief packages. The American Rescue Plan (ARP) Act was the first COVID-19 relief funding specifically designed to directly support children with disabilities and their families with more than $3 billion in supplemental funding for the three IDEA formula grant programs.",1
